Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Expected Payout
2,2,9,9,0,1158900000.0
2,2,9,9,1,1158900000.0
2,2,9,9,2,1158900000.0
2,2,9,9,3,1158900000.0
2,2,9,9,4,1158900000.0
2,2,9,9,5,1158900000.0
2,2,9,9,6,1158900000.0
2,2,9,9,7,1158900000.0
2,2,9,9,8,1158900000.0
2,2,9,9,9,1158900000.0
2,2,9,9,10,1158900000.0
10,7,5,9,0,4055406016.666667
10,7,5,9,1,4055567133.333333
10,7,5,9,2,4055483800.0
10,7,5,9,3,4055473476.1904755
10,7,5,9,4,4055573208.3333335
10,7,5,9,5,4055572966.666667
10,7,5,9,6,4055465560.0
10,7,5,9,7,4055465560.0
10,7,5,9,8,4055465560.0
10,7,5,9,9,4055567133.333333
10,7,5,9,10,4055488933.333333
9,6,2,0,0,3626532921.666667
9,6,2,0,1,3361693426.5734262
9,6,2,0,2,3378330607.305194
9,6,2,0,3,3520710280.3655596
9,6,2,0,4,3575241507.878787
9,6,2,0,5,3512113255.1488094
9,6,2,0,6,3457018406.2689395
9,6,2,0,7,3483797753.2167835
9,6,2,0,8,3471877750.7936506
9,6,2,0,9,3481899565.079365
9,6,2,0,10,3481560421.6666665
9,6,2,9,0,3454152623.181196
9,6,2,9,1,3465772245.4331098
9,6,2,9,2,3473935029.8303003
9,6,2,9,3,3473274454.9660044
9,6,2,9,4,3474925839.9925804
9,6,2,9,5,3477597819.5777035
9,6,2,9,6,3477596656.966936
9,6,2,9,7,3477600679.7425475
9,6,2,9,8,3477570606.7707453
9,6,2,9,9,3477601979.246564
9,6,2,9,10,3477234231.85584
10,8,2,9,0,4637001721.232068
10,8,2,9,1,4636994997.687763
10,8,2,9,2,4636989734.047619
10,8,2,9,3,4637001968.256384
10,8,2,9,4,4637004455.5744095
10,8,2,9,5,4636983301.231189
10,8,2,9,6,4637028844.285713
10,8,2,9,7,4637003304.038689
10,8,2,9,8,4637000268.657217
10,8,2,9,9,4636999369.534412
10,8,2,9,10,4637015392.007466
8,0,4,9,0,0.0
8,0,4,9,1,0.0
8,0,4,9,2,0.0
8,0,4,9,3,0.0
8,0,4,9,4,0.0
8,0,4,9,5,0.0
8,0,4,9,6,0.0
8,0,4,9,7,0.0
8,0,4,9,8,0.0
8,0,4,9,9,0.0
8,0,4,9,10,0.0
1,9,6,9,0,5285267200.0
1,9,6,9,1,5285284000.000001
1,9,6,9,2,5430256499.999998
1,9,6,9,3,5140781500.0
1,9,6,9,4,5169780500.0
1,9,6,9,5,5216730500.0
1,9,6,9,6,5216730500.0
1,9,6,9,7,5216730500.0
1,9,6,9,8,5216730500.0
1,9,6,9,9,5216730500.0
1,9,6,9,10,5140781499.999998
10,8,2,0,0,4644049794.23077
10,8,2,0,1,4644075819.230769
10,8,2,0,2,4644014858.076923
10,8,2,0,3,4643972659.615384
10,8,2,0,4,4644044297.727272
10,8,2,0,5,4644050634.469697
10,8,2,0,6,4644025704.545454
10,8,2,0,7,4644043043.076923
10,8,2,0,8,4643819365.178572
10,8,2,0,9,4644046961.742424
10,8,2,0,10,4644047807.954546
9,3,8,9,0,1790506265.2380953
9,3,8,9,1,1738394548.5714285
9,3,8,9,2,1738357450.0
9,3,8,9,3,1738394548.5714285
9,3,8,9,4,1738396733.3333335
9,3,8,9,5,1738408057.142857
9,3,8,9,6,1738423155.5555556
9,3,8,9,7,1738416375.0
9,3,8,9,8,1738416550.0
9,3,8,9,9,1738394548.5714285
9,3,8,9,10,1738313697.142857
9,4,6,9,0,2387334000.0
9,4,6,9,1,2318063200.0
9,4,6,9,2,2318063200.0
9,4,6,9,3,2318063200.0
9,4,6,9,4,2318063200.0
9,4,6,9,5,2318063200.0
9,4,6,9,6,2318063200.0
9,4,6,9,7,2318063200.0
9,4,6,9,8,2318063200.0
9,4,6,9,9,2318063200.0
9,4,6,9,10,2318063200.0
5,9,1,9,0,5088757519.215684
5,9,1,9,1,5196423052.340788
5,9,1,9,2,4966791742.579489
5,9,1,9,3,5044844442.4601345
5,9,1,9,4,5202256802.083334
5,9,1,9,5,5208519176.302084
5,9,1,9,6,5217540957.5
5,9,1,9,7,5217391986.666666
5,9,1,9,8,5217556386.666666
5,9,1,9,9,5217718452.083334
5,9,1,9,10,5026353591.375812
8,0,8,9,0,0.0
8,0,8,9,1,0.0
8,0,8,9,2,0.0
8,0,8,9,3,0.0
8,0,8,9,4,0.0
8,0,8,9,5,0.0
8,0,8,9,6,0.0
8,0,8,9,7,0.0
8,0,8,9,8,0.0
8,0,8,9,9,0.0
8,0,8,9,10,0.0
3,0,7,9,0,0.0
3,0,7,9,1,0.0
3,0,7,9,2,0.0
3,0,7,9,3,0.0
3,0,7,9,4,0.0
3,0,7,9,5,0.0
3,0,7,9,6,0.0
3,0,7,9,7,0.0
3,0,7,9,8,0.0
3,0,7,9,9,0.0
3,0,7,9,10,0.0
8,9,8,9,0,5253981687.5
8,9,8,9,1,5277443949.877551
8,9,8,9,2,5398179979.761905
8,9,8,9,3,5149614252.380953
8,9,8,9,4,5169603969.047619
8,9,8,9,5,5216547634.285714
8,9,8,9,6,5216558768.75
8,9,8,9,7,5216579683.333334
8,9,8,9,8,5216602171.428572
8,9,8,9,9,5216560143.75
8,9,8,9,10,5145940460.0
5,1,1,9,0,578392121.09375
5,1,1,9,1,587893137.7604167
5,1,1,9,2,569648850.0
5,1,1,9,3,570417691.6666667
5,1,1,9,4,579591635.7142857
5,1,1,9,5,579589997.9166667
5,1,1,9,6,579582106.25
5,1,1,9,7,579663768.1818182
5,1,1,9,8,579579325.5555556
5,1,1,9,9,579591635.7142857
5,1,1,9,10,563990350.0
3,3,8,9,0,1790262688.888889
3,3,8,9,1,1738416550.0
3,3,8,9,2,1738386825.0
3,3,8,9,3,1738394468.5714288
3,3,8,9,4,1738394468.5714288
3,3,8,9,5,1738407977.142857
3,3,8,9,6,1738416200.0
3,3,8,9,7,1738416550.0
3,3,8,9,8,1738380960.0
3,3,8,9,9,1738370622.2222223
3,3,8,9,10,1738262889.9999998
1,2,3,0,0,1160460000.0
1,2,3,0,1,1160660000.0
1,2,3,0,2,1160660000.0
1,2,3,0,3,1160660000.0
1,2,3,0,4,1160660000.0
1,2,3,0,5,1160660000.0
1,2,3,0,6,1160660000.0
1,2,3,0,7,1160660000.0
1,2,3,0,8,1160660000.0
1,2,3,0,9,1160660000.0
1,2,3,0,10,1160460000.0
8,5,3,0,0,2901550000.0
8,5,3,0,1,2901550000.0
8,5,3,0,2,2901620000.0
8,5,3,0,3,2902020000.0
8,5,3,0,4,2902460000.0
8,5,3,0,5,2902460000.0
8,5,3,0,6,2902460000.0
8,5,3,0,7,2902460000.0
8,5,3,0,8,2902460000.0
8,5,3,0,9,2902460000.0
8,5,3,0,10,2901820000.0
1,2,3,9,0,1173932847.2222219
1,2,3,9,1,1086646680.5555553
1,2,3,9,2,1087471942.7083333
1,2,3,9,3,1159714383.3333333
1,2,3,9,4,1159738816.6666665
1,2,3,9,5,1159719936.3636363
1,2,3,9,6,1159758551.282051
1,2,3,9,7,1159717437.4999998
1,2,3,9,8,1159737071.4285717
1,2,3,9,9,1159717437.5
1,2,3,9,10,1054523854.1666663
4,7,4,9,0,4085247333.333333
4,7,4,9,1,4061388841.6666665
4,7,4,9,2,4093015093.75
4,7,4,9,3,4056000866.666667
4,7,4,9,4,4055689271.4285707
4,7,4,9,5,4055956975.0
4,7,4,9,6,4055978800.0
4,7,4,9,7,4056036625.0
4,7,4,9,8,4055819783.333333
4,7,4,9,9,4055986050.0
4,7,4,9,10,4055024325.0
5,1,9,9,0,579450000.0
5,1,9,9,1,579450000.0
5,1,9,9,2,579450000.0
5,1,9,9,3,579450000.0
5,1,9,9,4,579450000.0
5,1,9,9,5,579450000.0
5,1,9,9,6,579450000.0
5,1,9,9,7,579450000.0
5,1,9,9,8,579450000.0
5,1,9,9,9,579450000.0
5,1,9,9,10,579450000.0
8,1,1,9,0,578359301.8055555
8,1,1,9,1,596677240.3125
8,1,1,9,2,570897952.0833334
8,1,1,9,3,573457103.3333333
8,1,1,9,4,579602850.0
8,1,1,9,5,579591635.7142857
8,1,1,9,6,579625570.0
8,1,1,9,7,579568681.1111112
8,1,1,9,8,579522436.6666667
8,1,1,9,9,579619566.6666667
8,1,1,9,10,564991781.2499998
5,9,5,9,0,5208611307.5
5,9,5,9,1,5235176198.555555
5,9,5,9,2,5279132971.851852
5,9,5,9,3,5253610499.8148155
5,9,5,9,4,5240606941.666667
5,9,5,9,5,5221923120.833334
5,9,5,9,6,5195728208.333334
5,9,5,9,7,5211119262.5
5,9,5,9,8,5214810159.523809
5,9,5,9,9,5214881210.0
5,9,5,9,10,5179257083.333333
3,6,2,9,0,3434141849.269684
3,6,2,9,1,3459774569.789828
3,6,2,9,2,3468391828.3289385
3,6,2,9,3,3471973589.779332
3,6,2,9,4,3474213125.3760633
3,6,2,9,5,3477608369.166667
3,6,2,9,6,3477599927.3755274
3,6,2,9,7,3477597611.6883106
3,6,2,9,8,3477597611.6883116
3,6,2,9,9,3477597514.307457
3,6,2,9,10,3425094156.8923454
0,2,6,9,0,1158900000.0
0,2,6,9,1,1158900000.0
0,2,6,9,2,1158900000.0
0,2,6,9,3,1158900000.0
0,2,6,9,4,1158900000.0
0,2,6,9,5,1158900000.0
0,2,6,9,6,1158900000.0
0,2,6,9,7,1158900000.0
0,2,6,9,8,1158900000.0
0,2,6,9,9,1158900000.0
0,2,6,9,10,1158900000.0
3,0,3,9,0,0.0
3,0,3,9,1,0.0
3,0,3,9,2,0.0
3,0,3,9,3,0.0
3,0,3,9,4,0.0
3,0,3,9,5,0.0
3,0,3,9,6,0.0
3,0,3,9,7,0.0
3,0,3,9,8,0.0
3,0,3,9,9,0.0
3,0,3,9,10,0.0
3,6,2,0,0,2884939807.9906197
3,6,2,0,1,2702409236.1111116
3,6,2,0,2,2748080255.902778
3,6,2,0,3,3045755948.5479803
3,6,2,0,4,3168264779.0103407
3,6,2,0,5,3285432500.5411253
3,6,2,0,6,3339583486.8912334
3,6,2,0,7,3448080027.6923075
3,6,2,0,8,3472082669.6153846
3,6,2,0,9,3481850624.6031747
3,6,2,0,10,2739967307.99062
1,2,7,9,0,1169243895.5555556
1,2,7,9,1,1162956308.3333335
1,2,7,9,2,1158636795.5555556
1,2,7,9,3,1158644850.0
1,2,7,9,4,1158641075.0
1,2,7,9,5,1158631711.1111112
1,2,7,9,6,1158634714.2857144
1,2,7,9,7,1158646284.8484848
1,2,7,9,8,1158624666.6666667
1,2,7,9,9,1158641216.6666665
1,2,7,9,10,1158553200.0
8,1,5,9,0,579626333.3333334
8,1,5,9,1,578760700.0
8,1,5,9,2,578793833.3333333
8,1,5,9,3,578760700.0
8,1,5,9,4,578793833.3333333
8,1,5,9,5,578768083.3333334
8,1,5,9,6,578711928.5714285
8,1,5,9,7,578803375.0
8,1,5,9,8,578767541.6666667
8,1,5,9,9,578696687.5
8,1,5,9,10,578590000.0
2,0,5,9,0,0.0
2,0,5,9,1,0.0
2,0,5,9,2,0.0
2,0,5,9,3,0.0
2,0,5,9,4,0.0
2,0,5,9,5,0.0
2,0,5,9,6,0.0
2,0,5,9,7,0.0
2,0,5,9,8,0.0
2,0,5,9,9,0.0
2,0,5,9,10,0.0
1,3,8,9,0,1781802000.0
1,3,8,9,1,1738387000.0
1,3,8,9,2,1738407977.142857
1,3,8,9,3,1738394548.5714285
1,3,8,9,4,1738386825.0
1,3,8,9,5,1738386825.0
